study,dataset,name,itemname,wave,year,waveletter,orig_itemname,description,scale,reverse_code,recode,mini,maxi,,comp_rule,,,,,,,,,,,,,,,,,,,
gsoep,P,SID,SID,,0,,IDPERS,,person ID,,,,,,,,,,,,,,,,,,,,,,,,,
gsoep,,yearBrth,yrofbirth,,0,,gebjahr,,Date of birth: Year,"Numeric with -8	other error
-7	filter error
-3	inapplicable
-2	no answer
-1	does not know)","ifelse(is.na(x) | x < 0, NA, x)",,,mode,,,,,,,,,,,,,,,,,,,,
gsoep,,gender,sex,,0,p,sex,SEX,Sex,"-8        other error
-7        filter error
-3        inapplicable
-2        no answer
-1        does not know
1        man
2        woman","ifelse(is.na(x) | x < 0, NA, x -  1)",,,mode,,,,,,,,,,,,,,,,,,,,
gsoep,P,mortality,yearDeath,,0,p,todjahr,,Last available participation status,"-8	other error
-7	filter error
-3	inapplicable
-2	no answer
-1	does not know
0	Participation
1	Proxy
2	Deceased
3	Institutionalisation
4	Left household permanently
5	Left household temporarely
6	Emigration
7	Problems due to language
8	Problems due to age or health
9	Family-related problems
10	Household refusal
11	Individual refusal
12	Left household permanently and refusal
13	Non-contact
14	Left household permanently and non-contact
15	Other","ifelse(x == 2, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,
gsoep,biojob,employed,currentjob,,0,q,nacelj,N/A,2-Digit NACE Industry Sector(Last Job),"-8 other error
-7 filter error
-3 inapplicable
-2 no answer
-1 does not know
1 Agriculture, hunting, forestry
2 Fishing and fish farming
3 Mining and quarrying
4 Manufacturing
5 Electricity, gas and water supply
6 Construction
7 Wholesale,retail; repair motor vehicles,household goods
8 Hotels and restaurants
9 Transport, storage and communication
10 Financial intermediation; insurance
11 Real estate; renting; computer; research
12 Public admin,national defence; compulsory social security
13 Education
14 Health and social work
15 Other community, social and personal service activities
16 Private households with employed persons
17 Extra-territorial organizations and bodies","ifelse(x == -3, 0, ifelse(is.na(x) | x < 0, NA, 1))",,,max,,,,,,,,,,,,,,,,,,,,
gsoep,ppequiv,marital,marStat,16,1999,p,d1110499,Marital Status of individual ,"[-6] Version of questionnaire with modified filtering
[-5] Not included in this version of the questionnaire
[-4] Inadmissible multiple response
[-3] Answer improbable
[-2] Does not apply
[-1] No Answer
[1] Married 1
[2] Single 2
[3] Widowed 3
[4] Divorced 4
[5] Separated 5
[6] Over 18 and NotW,Partnr6
[7] Under 18 And NotW,Partnr7",,"ifelse(x < 1 | x > 7, NA, ifelse(x == 1, 1, ifelse(x == 3, 3, ifelse(x %in% c(4, 5), 2, ifelse(x %in% c(2,6,7), 4, NA)))))",,,,max,,,,,,,,,,,,,,,,,,,
gsoep,qpequiv,marital,marStat,17,2000,q,d1110400,Marital Status of individual ,"[-6] Version of questionnaire with modified filtering
[-5] Not included in this version of the questionnaire
[-4] Inadmissible multiple response
[-3] Answer improbable
[-2] Does not apply
[-1] No Answer
[1] Married 1
[2] Single 2
[3] Widowed 3
[4] Divorced 4
[5] Separated 5
[6] Over 18 and NotW,Partnr6
[7] Under 18 And NotW,Partnr7",,"ifelse(x < 1 | x > 7, NA, ifelse(x == 1, 1, ifelse(x == 3, 3, ifelse(x %in% c(4, 5), 2, ifelse(x %in% c(2,6,7), 4, NA)))))",,,,max,,,,,,,,,,,,,,,,,,,
gsoep,rpequiv,marital,marStat,18,2001,r,d1110401,Marital Status of individual ,"[-6] Version of questionnaire with modified filtering
[-5] Not included in this version of the questionnaire
[-4] Inadmissible multiple response
[-3] Answer improbable
[-2] Does not apply
[-1] No Answer
[1] Married 1
[2] Single 2
[3] Widowed 3
[4] Divorced 4
[5] Separated 5
[6] Over 18 and NotW,Partnr6
[7] Under 18 And NotW,Partnr7",,"ifelse(x < 1 | x > 7, NA, ifelse(x == 1, 1, ifelse(x == 3, 3, ifelse(x %in% c(4, 5), 2, ifelse(x %in% c(2,6,7), 4, NA)))))",,,,max,,,,,,,,,,,,,,,,,,,
gsoep,spequiv,marital,marStat,19,2002,s,d1110402,Marital Status of individual ,"[-6] Version of questionnaire with modified filtering
[-5] Not included in this version of the questionnaire
[-4] Inadmissible multiple response
[-3] Answer improbable
[-2] Does not apply
[-1] No Answer
[1] Married 1
[2] Single 2
[3] Widowed 3
[4] Divorced 4
[5] Separated 5
[6] Over 18 and NotW,Partnr6
[7] Under 18 And NotW,Partnr7",,"ifelse(x < 1 | x > 7, NA, ifelse(x == 1, 1, ifelse(x == 3, 3, ifelse(x %in% c(4, 5), 2, ifelse(x %in% c(2,6,7), 4, NA)))))",,,,max,,,,,,,,,,,,,,,,,,,
gsoep,tpequiv,marital,marStat,20,2003,t,d1110403,Marital Status of individual ,"[-6] Version of questionnaire with modified filtering
[-5] Not included in this version of the questionnaire
[-4] Inadmissible multiple response
[-3] Answer improbable
[-2] Does not apply
[-1] No Answer
[1] Married 1
[2] Single 2
[3] Widowed 3
[4] Divorced 4
[5] Separated 5
[6] Over 18 and NotW,Partnr6
[7] Under 18 And NotW,Partnr7",,"ifelse(x < 1 | x > 7, NA, ifelse(x == 1, 1, ifelse(x == 3, 3, ifelse(x %in% c(4, 5), 2, ifelse(x %in% c(2,6,7), 4, NA)))))",,,,max,,,,,,,,,,,,,,,,,,,
